newspaper_title,date,year,content,summary_el,country,source_url,ai_relevance,ai_topic,ai_stance,ai_notes,entities_persons,entities_locations,entities_orgs,normalized_content,news_origin,news_origin_norm,publication_place,political_orientation,orientation_notes,country_original,country_corrected_safe,country_changed_safe,row_uid,rumor_status,certainty_score,certainty_markers,transmission_formula,transmission_medium,intermediary_node,cited_source,probable_chain,rhetorical_frame_primary,rhetorical_frame_secondary,frame_confidence,canonical_event_type,event_name,event_location,event_date_reference,event_phase,story_cluster_hint,source_criticism_note,llm_confidence,needs_review,review_reason,story_cluster_id,annotation_error
Morning Chronicle,Wednesday 09 January 1822,1822,"Cnatiob Cytractm ... chieftain is dead.: The marflee of the Patriarch of the Greek Church seems-- to have given to the contest the fierceness of a -ear for teligieu : and though the excesses of • the 'Turks against the Greeks in Constaaliaople had somewhat abated, a general massacre ...",Unknown,UK,,directly_relevant,Internal Greek Affairs,pro_greek,"Reports on the religious aspect of the conflict, 'excesses of the Turks against the Greeks', and a 'general massacre' in Constantinople.","[""Patriarch of the Greek Church""]","[""Constantinople""]",Greek Church,"National Contract... chieftain is dead. The martyrdom of the Patriarch of the Greek Church seems to have given to the contest the fierceness of a war for religion; and though the excesses of the Turks against the Greeks in Constantinople had somewhat abated, a general massacre...",Constantinople,Constantinople,London,whig,Principal organe whig; James Perry puis John Black,UK,UK,False,c161a001751c1c82,reported,2,seems; had somewhat abated,,unknown,,,Constantinople -> London,christian_suffering,ottoman_barbarity,4,atrocity,Massacre of Greeks in Constantinople,Constantinople,early January 1822,reported_account,CONSTANTINOPLE_MASSACRE_JAN1822,The report uses tentative language indicating the information is not fully confirmed and may be based on partial or secondhand accounts.,4,False,,CONSTANTINOPLE_MASSACRE_JAN1822_E7F735,
Westmorland Gazette,Saturday 05 January 1822,1822,"CHRONOLOGICAL TABLE ... venerable Patriarch and three other Greek Bishops, massacred, together with thousands of their fellow countrymen. Kith.—The King of Naples returned to his capital. 17th.—Accounts received of continued massacres of the Greeks by the Turks, at Constantinople ...",Unknown,UK,,directly_relevant,Military Operations,pro_greek,"Chronological entry reporting massacres of the Greek Patriarch, bishops, and thousands of countrymen by Turks in Constantinople.","Patriarch, King of Naples","Naples, Constantinople",,"CHRONOLOGICAL TABLE ... venerable Patriarch and three other Greek Bishops, massacred, together with thousands of their fellow countrymen. Kith.—The King of Naples returned to his capital. 17th.—Accounts received of continued massacres of the Greeks by the Turks, at Constantinople ...",Kith,Kith,Westmorland,tory,Westmorland; tory; fondé par De Quincey,UK,UK,False,7b60901958a6b72a,reported,3,Accounts received; continued massacres,"Accounts received of continued massacres of the Greeks by the Turks, at Constantinople",unknown,,,,ottoman_barbarity,christian_suffering,4,atrocity,Massacres of Greeks at Constantinople,Constantinople,17th,reported_account,,"The information is based on received accounts without official confirmation, indicating a reported but unverified status.",5,False,,CONSTANTINOPLE_ATROCITY_MASSACRES_OF_GREEKS_AT_CONSTANTINOPLE_17TH_1822_E61177,
Morning Chronicle,Wednesday 09 January 1822,1822,"Cnatiob Cytractm ... chieftain is dead.: The marflee of the Patriarch of the Greek Church seems-- to have given to the contest the fierceness of a -ear for teligieu : and though the excesses of • the 'Turks against the Greeks in Constaaliaople had somewhat abated, a general massacre ...",Unknown,UK,,directly_relevant,Internal Greek Affairs,pro_greek,"Reports on the religious aspect of the conflict, 'excesses of the Turks against the Greeks', and a 'general massacre' in Constantinople.",Patriarch of the Greek Church,Constantinople,"Greek Church, Turks","Cnatiob Cytractm ... chieftain is dead.: The marflee of the Patriarch of the Greek Church seems to have given to the contest the fierceness of a bear for religion; and though the excesses of the Turks against the Greeks in Constantinople had somewhat abated, a general massacre ...",Constantinople,Constantinople,London,whig,Principal organe whig; James Perry puis John Black,UK,UK,False,a22a283027e68950,reported,2,seems; had somewhat abated,,unknown,,,Constantinople -> London,christian_suffering,ottoman_barbarity,3,atrocity,Massacre of Greeks in Constantinople,Constantinople,early January 1822,reported_account,CONSTANTINOPLE_MASSACRE_JAN1822,The report uses tentative language indicating the information is not fully confirmed and may be based on partial or secondhand accounts.,4,True,Text is fragmentary and contains unclear phrases; transmission details are absent.,CONSTANTINOPLE_MASSACRE_JAN1822_E7F735,
Inverness Journal and Northern Advertiser,Friday 11 January 1822,1822,"CHRONOLOGICAL TABLE Of Remarkable Events in 1821 ... venerable Patriarch and three other Greek Bishops, massacred, together with thousands of their fellow countrymen. 16th! The King of Naples returned to his capital. 17th. Accounts received of continued massacres of the Greeks by the Turks, at Constantinople ...",Unknown,UK,,directly_relevant,Military Operations,pro_greek,"Chronological table reporting massacres of the Greek Patriarch, bishops, and other Greeks by the Turks in 1821.","Patriarch, King of Naples",Constantinople,,"CHRONOLOGICAL TABLE Of Remarkable Events in 1821 ... venerable Patriarch and three other Greek Bishops, massacred, together with thousands of their fellow countrymen. 16th! The King of Naples returned to his capital. 17th. Accounts received of continued massacres of the Greeks by the Turks, at Constantinople ...",Constantinople,Constantinople,Inverness-shire,tory,Highlands; tory,UK,UK,False,72503af1ecde436d,reported,3,Accounts received; continued massacres,"Accounts received of continued massacres of the Greeks by the Turks, at Constantinople",unknown,Constantinople,,Constantinople -> Inverness-shire,ottoman_barbarity,christian_suffering,4,atrocity,Massacres of Greeks at Constantinople,Constantinople,16th-17th (January 1822),reported_account,GREEK_MASSACRES_CONSTANTINOPLE_1822,"The information is based on received accounts without official confirmation, indicating a reported but unverified status.",5,False,,GREEK_MASSACRES_CONSTANTINOPLE_1822_69B35D,
Morning Post,Saturday 19 January 1822,1822,"TITLE IT ... the Flag of Independence is triumphant in the waters of Greece. Letters from Toulon mention the arrival at that port of the French schooner the Pavillon, which left Constantinople on the 13th of December. At that date, the massacre of Greeks continued in ...",Unknown,UK,,directly_relevant,Philhellenism,pro_greek,Reports on the 'Flag of Independence' in Greek waters and the ongoing 'massacre of Greeks' in Constantinople.,,"Greece, Toulon, Constantinople",,"TITLE IT ... the Flag of Independence is triumphant in the waters of Greece. Letters from Toulon mention the arrival at that port of the French schooner the Pavillon, which left Constantinople on the 13th of December. At that date, the massacre of Greeks continued in ...",Toulon,Toulon,London,tory,Tory; proche de la Cour et de l'aristocratie,UK,UK,False,f766b2372bf1320d,reported,3,"Letters from Toulon mention the arrival; At that date, the massacre of Greeks continued",Letters from Toulon mention the arrival at that port of the French schooner the Pavillon,letter,Toulon,,Constantinople -> Toulon -> London,ottoman_barbarity,humanitarian_urgency,4,atrocity,Massacre of Greeks,Greece,13th of December,reported_account,,"Information is based on letters received in Toulon reporting events as of 13 December, without official confirmation.",5,False,,GREECE_ATROCITY_MASSACRE_OF_GREEKS_13TH_OF_DECEMBER_1822_97BF48,
Observer of the Times,Sunday 19 May 1822,1822,"HISTORICAL EPITOME ... received fat London, the llth hit. state, that the news of the fosdrreetioo of the Greeks at Scio, has again forth the fart ofthe Turks, who have imprisoned several 1 Greek mtto '•Beats, aad levied contribution cf 130,000 piastres month, upon the persons ...",Unknown,UK,,directly_relevant,Internal Greek Affairs,pro_greek,"Reports on the Greek insurrection at Scio, Turkish retaliation including imprisonment and levied contributions.",,"London, Scio",,"HISTORICAL EPITOME ... received at London, the 11th inst. state, that the news of the insurrection of the Greeks at Scio, has again forth the fear of the Turks, who have imprisoned several Greek notables, and levied contribution of 130,000 piastres per month, upon the persons ...",London,London,London,inconnu,,UK,UK,False,a3e48b8d912275ee,reported,3,the news of the fosdrreetioo of the Greeks at Scio; has again forth the fart ofthe Turks,"received fat London, the llth hit. state",unknown,London,,Scio -> London,ottoman_barbarity,financial_state_building,4,atrocity,Turkish repression at Scio,Scio,llth May 1822,reported_account,SCIO_REPRESSION_MAY_1822,"The information is based on news received in London and reported without official confirmation, indicating a reported account rather than confirmed fact.",4,False,,SCIO_REPRESSION_MAY_1822_37739C,
Sun (London),Friday 07 June 1822,1822,"FOREIGN IYTELLWENCE. We have received from Pans, the Speech of his, sty o upon opening the Session of the Chambers ... lying in the streets, squares, and environs of the city. The Turks had on their side 4,000 killed and 10,000 wounded.— The Greeks are now entrenched in the mountainous pal ts of Scio, where they will not probably venture except with a sure prospect of ...",Unknown,UK,,directly_relevant,Military Operations,neutral,Reports on casualties (Turks killed and wounded) and the position of Greek forces entrenched in Scio.,His Majesty,"Paris, Scio",Chambers,"FOREIGN INTELLIGENCE. We have received from Paris, the Speech of his Majesty upon opening the Session of the Chambers ... lying in the streets, squares, and environs of the city. The Turks had on their side 4,000 killed and 10,000 wounded. The Greeks are now entrenched in the mountainous parts of Scio, where they will not probably venture except with a sure prospect of ...",Paris,Paris,London,tory,Tory; soir,UK,UK,False,444a28f736a2714b,reported,3,"We have received from Paris; The Turks had on their side 4,000 killed and 10,000 wounded","We have received from Pans, the Speech of his, sty o upon opening the Session of the Chambers",newspaper_reprint,Paris,,Paris -> London,military_strategic,neutral_information,4,battle,Battle near Scio,Scio,,reported_account,SCIO_BATTLE_1822,"The information is based on a received speech report from Paris without official confirmation, indicating a reported but not confirmed account.",4,False,,SCIO_BATTLE_1822_012CBC,
Hereford Journal,Wednesday 12 June 1822,1822,"12. ! ki‘,4.lllarters of wheat. Let the Hon. Gentleman con- Cirr uhs r ind with 1922, a year- in which ... massacre all the Greeks. The Augsburg Gazette has the following news brought by the Courier from Smyrna :— The Turkish squadron, consisting of 22 ships, chiefly of the first dass, has been attacked by the Greek squadron of 70 vessels. The Greeks succeeded in ...",Unknown,UK,,directly_relevant,Military Operations,pro_greek,Reports a naval battle between Greek and Turkish squadrons and mentions a potential massacre of Greeks.,,Smyrna,"Augsburg Gazette, Courier","12. Quarters of wheat. Let the Hon. Gentleman continue with 1822, a year in which ... massacre all the Greeks. The Augsburg Gazette has the following news brought by the Courier from Smyrna: The Turkish squadron, consisting of 22 ships, chiefly of the first class, has been attacked by the Greek squadron of 70 vessels. The Greeks succeeded in ...",Smyrna,Smyrna,Herefordshire,tory,Hereford; tory,UK,UK,False,3f795f784d6df01c,reported,3,has been attacked; The Greeks succeeded in,The Augsburg Gazette has the following news brought by the Courier from Smyrna :—,courier,Smyrna,Augsburg Gazette,Smyrna -> Augsburg -> Hereford,military_strategic,ottoman_barbarity,4,naval_operation,Greek attack on Turkish squadron,unclear,1822,reported_account,,"The information is a secondhand report relayed via the Augsburg Gazette and Courier from Smyrna, lacking official confirmation.",5,False,,UNCLEAR_NAVAL_OPERATION_GREEK_ATTACK_ON_TURKISH_SQUADRON_1822_1822_34EA9E,
Royal Cornwall Gazette,Saturday 06 July 1822,1822,"THE MERCURY ... authentic accounts of the atrocious barbaritits practised by 'the Tuerks, on the Greek inhabitants of the celebrated, beautiful, and populous island of Scio. A few of tihe unhappy Greeks, who at present lie concealed in Constantinople, have transmitted to their ...",Unknown,UK,,directly_relevant,Military Operations,pro_greek,Report on atrocities committed by Turks against Greek inhabitants of Scio.,,"Chios, Constantinople",,"THE MERCURY ... authentic accounts of the atrocious barbarities practised by the Turks, on the Greek inhabitants of the celebrated, beautiful, and populous island of Chios. A few of the unhappy Greeks, who at present lie concealed in Constantinople, have transmitted to their ...",Constantinople,Constantinople,Cornwall,tory,Cornwall; tory,UK,UK,False,6798f10e749e026f,reported,3,authentic accounts; have transmitted to their,"A few of tihe unhappy Greeks, who at present lie concealed in Constantinople, have transmitted to their",private_correspondence,Constantinople,,Scio -> Constantinople -> Cornwall,ottoman_barbarity,humanitarian_urgency,4,atrocity,Chios massacre,Scio,,reported_account,CHIOS_MASSACRE_1822,"The information is based on private correspondence from Greeks concealed in Constantinople, indicating reported but not officially confirmed accounts.",5,False,,CHIOS_MASSACRE_1822_A193A6,
Evening Mail,Wednesday 17 July 1822,1822,"A powerful attempt has just been made the Rev. T. S. Hughes, (author of Travels in Sicily, Greece, and Albauia,)- ... attempt has just been made the Rev. T. S. Hughes, (author of Travels in Sicily, Greece, and Albauia,)- an Address to the people of England, to rouse them the cause of the Greeks, occasioned by the Late inhuman Massacres the Isle of Scio, ice. Mr. Hughes ...",Unknown,UK,,directly_relevant,Philhellenism,pro_greek,"Reports on an address by Rev. T. S. Hughes to rouse British public support for the Greeks, prompted by the massacres in Scio.",Rev. T. S. Hughes,"Sicily, Greece, Albania, England, Isle of Scio",,"A powerful attempt has just been made by the Rev. T. S. Hughes, (author of Travels in Sicily, Greece, and Albania), an Address to the people of England, to rouse them to the cause of the Greeks, occasioned by the late inhuman Massacres on the Isle of Scio, &c. Mr. Hughes ...",England,London,London,tory,Tory; soir,UK,UK,False,5fe8609538ece029,reported,3,A powerful attempt has just been made; occasioned by the Late inhuman Massacres the Isle of Scio,,unknown,,Rev. T. S. Hughes,Scio -> London,ottoman_barbarity,humanitarian_urgency,4,atrocity,Chios massacre,Isle of Scio,Late,reported_account,CHIOS_MASSACRE_1822,"The information is based on an address by Rev. T. S. Hughes and refers to recent massacres, but lacks official confirmation.",5,False,,CHIOS_MASSACRE_1822_A193A6,
