story_cluster_id,count
CHIOS_MASSACRE_1822_A193A6,17
GREEK_WAR_OF_INDEPENDENCE_1822_F38CDD,7
CHIOS_1822_B1E4EE,7
CHIOS_MASSACRE_APRIL_1822_AB6CFC,5
CONSTANTINOPLE_MASSACRE_JAN1822_E7F735,2
CONSTANTINOPLE_ATROCITY_MASSACRES_OF_GREEKS_AT_CONSTANTINOPLE_17TH_1822_E61177,2
GREEK_MASSACRES_CONSTANTINOPLE_1822_69B35D,2
GREECE_ATROCITY_MASSACRE_OF_GREEKS_13TH_OF_DECEMBER_1822_97BF48,2
SCIO_REPRESSION_MAY_1822_37739C,2
CONSTANTINOPLE_MASSACRE_1822_79E7E7,2
CHIOS_NAVAL_1822_08B229,2
CHIOS_NAVAL_OPERATION_MAY_1822_F59C0E,2
SCIO_BATTLE_1822_012CBC,1
UNCLEAR_NAVAL_OPERATION_GREEK_ATTACK_ON_TURKISH_SQUADRON_1822_1822_34EA9E,1
MOREA_HYDRA_BATTLE_UNSPECIFIED_GREEK_TURKISH_ENGAGEMENT_NEAR_MOREA_AND_HYDRA_FRI_793DC2,1
CYPRUS_OTHER_TREATMENT_OF_CYPRUS_INHABITANTS_DURING_GREEK_STRUGGLES_1822_1822_4EC7C9,1
SMYRNE_MASSACRE_NOV_1821_E9E0D0,1
SMYRNA_REVOLT_DEC1821_823074,1
RUSSIA_POLITICAL_DEVELOPMENT_UNCLEAR_1822_954AEE,1
ATROCITY_MASSACRE_RUMOR_OF_GREEKS_BY_THE_PORTE_L_ANN_E_DERNI_RE_PAREILLE_POQUE_1_72E624,1
RUSSIA_TURKEY_WAR_DECLARATION_APRIL_1822_DD76EF,1
CONSTANTINOPLE_MILITARY_MOVEMENT_OTTOMAN_MILITARY_MOBILIZATION_AGAINST_GREEKS_18_BB7894,1
CONSTANTINOPLE_ASSASSINATIONS_MARCH_1822_29E4C4,1
SMYRNA_SITUATION_MARCH_1822_B18F43,1
SMYRNA_VIOLENCE_MARCH_1822_C93D3B,1
TRIPOLITZA_MASSACRE_1822_34DF6E,1
CHIOS_MASSACRE_MARCH_1822_A6AFF1,1
CHIOS_MASSACRES_1822_291E19,1
CHIOS_MILITARY_MOVEMENT_1822_AE3871,1
CHIOS_DIPLOMACY_MAY_1822_3397B9,1
SCIO_PRISONERS_CAPTIVES_RELEASE_OF_SIX_NAHOM_TANS_SLAVES_BY_GREEKS_1822_1822_51FDF4,1
GREEK_WAR_OF_INDEPENDENCE_1822_MILITARY_OPERATIONS_9A14E6,1
SMYRNA_ATROCITY_MASSACRES_AND_PILLAGING_OF_GREEK_PROPERTIES_4_MARS_1822_FED25F,1
CHIOS_LANDING_MARCH_1822_FD1091,1
SMYRNA_MASSACRES_1822_15C1F3,1
SMYRNA_ATROCITIES_APRIL_1822_C69C9B,1
CHIOS_SIEGE_APRIL_1822_4901B9,1
CHIOS_BATTLE_MARCH_1822_26DAC3,1
CHIOS_SIEGE_MAY_1822_820F45,1
ACRE_POLITICAL_DEVELOPMENT_DECLARATION_OF_INDEPENDENCE_OF_THE_PACHA_OF_ACRE_1822_B52253,1
CHIOS_INSURRECTION_1822_86A200,1
CHIOS_BATTLE_APRIL_1822_7ADF7D,1
