story_cluster_id,story_cluster_hint,canonical_event_type,event_name,event_location,event_date_reference,rumor_status,event_phase,rhetorical_frame_primary,newspaper_title,date,publication_place,news_origin_norm,transmission_formula,transmission_medium,probable_chain,source_criticism_note,needs_review,review_reason
MISSOLONGHII_DEFENCE_1826_E94546,MISSOLONGHI_DEFENCE_1826,siege,Defence of Missolonghi,Missolonghi,,reported,reported_account,military_strategic,Bell's Life in London and Sporting Chronicle,Sunday 14 May 1826,London,Greece,,unknown,Greece -> London,The information is presented as intelligence but lacks explicit confirmation or official source attribution.,False,
MISSOLONGHII_SIEGE_1826_0CD01D,MISSOLONGHI_SIEGE_1826,siege,Siege of Missolonghi,Missolonghi,,reported,reported_account,military_strategic,Belfast Commercial Chronicle,Saturday 28 January 1826,Antrim,Greece,,unknown,Greece -> Antrim,"The information is presented as news received from Greece but lacks explicit confirmation or official dispatch, indicating a reported account rather than confirmed fact.",False,
MISSOLONGHII_BATTLE_MARCH_1826_A484D9,MISSOLONGHI_BATTLE_MARCH_1826,battle,Engagement between Captain Pacha and Greek forces at Missolonghi,Missolonghi,,reported,reported_account,military_strategic,Representative 1826,Friday 10 March 1826,Unknown,Missolonghi,,unknown,Missolonghi -> UK,The information is presented as reported but lacks official confirmation and is phrased with uncertainty.,False,
NAPOLI_DI_ROMANIA_DIPLOMACY_GREEK_GOVERNMENT_S_STANCE_ON_INDEPENDENCE_1826_F9FBE2,,diplomacy,Greek Government's stance on independence,Napoli di Romania,,reported,reported_account,diplomatic_negotiation,Morning Post,Tuesday 14 March 1826,London,Nafplio,,unknown,Nafplio -> London,"The information is based on a reported declaration to a British diplomat, indicating a diplomatic position but lacking official confirmation.",False,
NAPOLI_DI_ROMANIA_DIPLOMACY_GREEK_GOVERNMENT_S_STANCE_ON_INDEPENDENCE_COMMUNICAT_6A2519,,diplomacy,Greek Government's stance on independence communicated to Stratford Canning,Napoli di Romania,,reported,reported_account,diplomatic_negotiation,English Chronicle and Whitehall Evening Post,Thursday 16 March 1826,London,Nafplio,,unknown,Napoli di Romania -> London,"The information is presented as a declaration made to a British diplomat, indicating a reported diplomatic position rather than confirmed fact.",False,
MISSOLONGHII_JANUARY_1826_B080DE,MISSOLONGHI_JANUARY_1826,naval_operation,English naval force at Missolonghi,Missolonghi,"January 15 (27), 1826",reported,reported_account,humanitarian_urgency,Sun (London),Tuesday 21 March 1826,London,Missolonghi,"From th* Greek Chuoiiclk.o/Hfittolonghi,of lha 18tAfSBM ) January ,1896",newspaper_reprint,Missolonghi -> London,"The information is a reported account reprinted from a Greek chronicle, without official confirmation.",False,
MISSOLONGHII_FALL_APRIL_1826_2810A2,MISSOLONGHI_FALL_APRIL_1826,military_movement,Removal of Fleet Commander,Constantinople,Sunday prior to 04 April 1826,reported,reported_account,military_strategic,Representative 1826,Tuesday 04 April 1826,Unknown,Constantinople,Sunday's Post,newspaper_reprint,Constantinople -> UK,"The information is based on a newspaper report citing 'Sunday's Post' without official confirmation, indicating moderate reliability.",False,
MISSOLONGHII_SIEGE_FEB_1826_557926,MISSOLONGHI_SIEGE_FEB_1826,siege,Siege of Missolonghi,Missolonghi,28th of February,reported,reported_account,military_strategic,New Times (London),Tuesday 04 April 1826,London,Greece,"Saturday contain intelligence from Greece, announcing that Ibrahim Pacha commenced his attack",unknown,Greece -> London,"The information is presented as intelligence received but lacks official confirmation, indicating a reported account rather than confirmed fact.",False,
MISSOLONGHII_FALL_APRIL_1826_2810A2,MISSOLONGHI_FALL_APRIL_1826,fall,Fall of Missolonghi,Missolonghi,"April 6, 1826",reported,reported_account,military_strategic,Globe,Thursday 06 April 1826,Paris,London,It was currently reported yesterday,unknown,,"The information is based on a report described as current but not officially confirmed, indicating uncertainty.",False,
MISSOLONGHII_FALL_APRIL_1826_2810A2,MISSOLONGHI_FALL_APRIL_1826,fall,Fall of Missolonghi,Missolonghi,"April 7, 1826",reported,reported_account,military_strategic,Stamford Mercury,Friday 07 April 1826,Lincolnshire,London,,unknown,London,"The information is presented as a news report without explicit official confirmation or named sources, indicating a reported but not confirmed status.",False,
MISSOLONGHII_BATTLE_MARCH_1826_A484D9,MISSOLONGHI_BATTLE_MARCH_1826,battle,Battle before Missolonghi,Missolonghi,March 20,reported,reported_account,military_strategic,Baldwin's London Weekly Journal,Saturday 08 April 1826,London,Trieste,"An article from Trieste, March 20, asserts that Ibrahim Pacha has been completely defeated before Missolonghi",newspaper_reprint,Greece -> Trieste -> London,"The information is based on contradictory reports from Greece and an article from Trieste, indicating uncertainty and lack of official confirmation.",False,
MISSOLONGHII_BATTLE_APRIL_1826_A8722F,MISSOLONGHI_BATTLE_APRIL_1826,battle,Repulse of the Egyptians before Missolonghi,Missolonghi,"before April 4, 1826",reported,reported_account,military_strategic,Morning Chronicle,Tuesday 11 April 1826,London,Hamburg,We have received New York Papers to the 18th,newspaper_reprint,New York -> London,"The information is based on secondhand newspaper reports without official confirmation, indicating moderate reliability.",False,
MISSOLONGHII_FALL_APRIL_1826_2810A2,MISSOLONGHI_FALL_APRIL_1826,fall,Fall of Missolonghi,Missolonghi,,reported,reported_account,military_strategic,Public Ledger and Daily Advertiser,Tuesday 11 April 1826,London,Greece,The Glubc and Traveler of Thursday put forward the following disastrous intelligence from Greece,newspaper_reprint,Greece -> The Glubc and Traveler -> Public Ledger and Daily Advertiser,"The information is a secondhand newspaper report citing another newspaper, indicating it is reported but not officially confirmed.",False,
MISSOLONGHII_SIEGE_APRIL_1826_330333,MISSOLONGHI_SIEGE_APRIL_1826,siege,Siege of Missolonghi,Missolonghi,April 1826,reported,reported_account,military_strategic,Derby Mercury,Wednesday 19 April 1826,Derbyshire,Zante,,unknown,Zante -> Derbyshire,"The information is a partial report with no explicit source or confirmation, indicating moderate uncertainty.",False,
MISSOLONGHII_ATTACK_APRIL_1826_C00017,MISSOLONGHI_ATTACK_APRIL_1826,military_movement,Pacha's planned attack on Missolonghi,Missolonghi,9th April 1826,reported,reported_account,military_strategic,British Press,Saturday 22 April 1826,London,Madrid,From the Etoile of Wednesday.,newspaper_reprint,Madrid -> London,The information is a secondhand newspaper report citing a foreign source and uses cautious language indicating uncertainty.,False,
MISSOLONGHII_FLEET_ARRIVAL_APRIL_1826_2C4010,MISSOLONGHI_FLEET_ARRIVAL_APRIL_1826,military_movement,Arrival of Greek fleet before Missolonghi,Missolonghi,"Saturday, April (1826)",reported,reported_account,military_strategic,Public Ledger and Daily Advertiser,Monday 24 April 1826,London,Rome,"From the ETOII.E. dated Saturday, April ...",newspaper_reprint,Rome -> London,"The information is based on a newspaper reprint citing a dated source, indicating reported but not confirmed news.",False,
MISSOLONGHII_RELIEF_1826_D0C3B0,MISSOLONGHI_RELIEF_1826,relief,Arrival of Greek fleet before Missolonghi,Missolonghi,,reported,reported_account,military_strategic,Dublin Evening Post,Tuesday 25 April 1826,Dublin,Amsterdam,,newspaper_reprint,Amsterdam -> Dublin,"The information is based on a secondary newspaper source citing the Gazette of Amsterdam, indicating a reported but not confirmed event.",False,
MISSOLONGHII_SIEGE_MARCH_1826_30ED50,MISSOLONGHI_SIEGE_MARCH_1826,siege,Siege of Missolonghi,Missolonghi,late March 1826,reported,reported_account,military_strategic,Fleming's British Farmers' Chronicle,Monday 01 May 1826,London,Ithaca,,unknown,Greece -> Ithaca and Corfu -> London,"Information is based on newspaper reports citing French Papers and accounts from Ithaca and Corfu, indicating reported but not officially confirmed news.",False,
MISSOLONGHII_DEFENCE_1826_E94546,MISSOLONGHI_DEFENCE_1826,siege,Defence of Missolonghi,Missolonghi,1826,reported,reported_account,military_strategic,Bell's Life in London and Sporting Chronicle,Sunday 14 May 1826,London,Greece,,unknown,Greece -> London,"The information is presented as intelligence but lacks explicit official confirmation or named sources, indicating a reported but not fully verified account.",False,
MISSOLONGHII_FALL_APRIL_1826_2810A2,MISSOLONGHI_FALL_APRIL_1826,fall,Fall of Missolonghi,Missolonghi,,reported,reported_account,military_strategic,Representative 1826,Thursday 18 May 1826,Unknown,Paris,"diplomatic intelligence has been received in Paris, confirming the melancholy fact",official_dispatch,Greece -> Paris -> UK,The information is based on diplomatic intelligence received in Paris and is not firsthand or officially confirmed in the UK newspaper.,False,
MISSOLONGHII_FALL_APRIL_1826_2810A2,MISSOLONGHI_FALL_APRIL_1826,fall,Fall of Missolonghi,Missolonghi,,reported,reported_account,humanitarian_urgency,Worcester Journal,Thursday 18 May 1826,Worcestershire,Greece,received from Greece such as must give less surprise than pain to the friends of that unhappy country,unknown,,"The information is presented as received news without official confirmation, indicating a reported account rather than verified fact.",False,
EASTERN_GREECE_MILITARY_MOVEMENT_COLONEL_FABVIER_S_LOCATION_12TH_OF_APRIL_1826_493317,,military_movement,Colonel Fabvier's location,Eastern Greece,12th of April,rumor,rumor_wave,unclear,Morning Chronicle,Saturday 20 May 1826,London,Genoa,if a letter from Geuoa of the Ist inst. is to be,letter,Genoa -> London,"The information is uncertain and based on unconfirmed letters and reports, indicating a rumor rather than confirmed news.",False,
MISSOLONGHII_FALL_APRIL_1826_2810A2,MISSOLONGHI_FALL_APRIL_1826,fall,Fall of Missolonghi,Missolonghi,"May 17, 1826",reported,reported_account,military_strategic,Manchester Courier,Saturday 20 May 1826,Unknown,London,"Londo.;, Wednesday Evening, May 17.",unknown,Missolonghi -> London,The report states that official intelligence has arrived but does not provide direct official confirmation or multiple sources.,False,
MISSOLONGHII_1826_143389,MISSOLONGHI_1826,military_movement,Garrison of Missolonghi cuts their way through,Missolonghi,1826,reported,reported_account,military_strategic,The Scotsman,Saturday 10 June 1826,Midlothian,Missolonghi,,official_dispatch,Missolonghi -> Midlothian,The information is based on an official dispatch cited in the newspaper but lacks explicit confirmation or multiple sources.,False,
