newspaper_title,date,year,content,summary_el,country,source_url,ai_relevance,ai_topic,ai_stance,ai_notes,entities_persons,entities_locations,entities_orgs,normalized_content,news_origin,news_origin_norm,publication_place,political_orientation,orientation_notes,country_original,country_corrected_safe,country_changed_safe,row_uid,rumor_status,certainty_score,certainty_markers,transmission_formula,transmission_medium,intermediary_node,cited_source,probable_chain,rhetorical_frame_primary,rhetorical_frame_secondary,frame_confidence,canonical_event_type,event_name,event_location,event_date_reference,event_phase,story_cluster_hint,source_criticism_note,llm_confidence,needs_review,review_reason,story_cluster_id,annotation_error
Globe,Wednesday 10 October 1827,1827,"PARIS, OCT. 6 ... certain that the Egyptian forces have landed at Navarin. Some say that this army will be more than sufficient to destroy the Greeks, now reduc , d to the greatest extremity; others wsert, upon the testimony of letters recently received from the scene of ...",Unknown,UK,,directly_relevant,Military Operations,neutral,Reports on the landing of Egyptian forces at Navarin and their perceived threat to the Greeks.,,"Paris, Navarin, Greece, Egypt",Egyptian forces,"PARIS, OCT. 6 ... certain that the Egyptian forces have landed at Navarin. Some say that this army will be more than sufficient to destroy the Greeks, now reduced to the greatest extremity; others assert, upon the testimony of letters recently received from the scene of ...",Paris,Paris,Paris,whig,Whig libéral; soutient réforme,UK,UK,False,f342b0888c159463,reported,2,"certain that the Egyptian forces have landed at Navarin; Some say that this army will be more than sufficient; others assert, upon the testimony of letters recently received",upon the testimony of letters recently received from the scene of,letter,,,Paris -> Globe (Paris),military_strategic,neutral_information,4,military_movement,Egyptian forces landing at Navarin,Navarin,Oct. 6,reported_account,NAVARIN_LANDING_OCT_1827,"The information is based on letters recently received and hearsay, indicating it is a reported but unconfirmed account.",5,False,,NAVARIN_LANDING_OCT_1827_7760C5,
Exeter Flying Post,Thursday 11 October 1827,1827,"-,, PARIS, OCT 6. _ ... certain that the Egyptian forces have landed at Navarin. Some say that this army will be more than sufficient to destroy the Greeks, now reduc-d to the greatest extremity; others a , sert, upon the testimony of letters recently received from the sc e ne ...",Unknown,UK,,directly_relevant,Military Operations,pro_greek,Reports on the landing of Egyptian forces at Navarin and their perceived threat to the Greeks.,,"Paris, Navarin, Greece, Egypt",,"PARIS, OCT 6. ... certain that the Egyptian forces have landed at Navarin. Some say that this army will be more than sufficient to destroy the Greeks, now reduced to the greatest extremity; others assert, upon the testimony of letters recently received from the scene ...",Paris,Paris,Devon,whig,Exeter; whig,UK,UK,False,88f582a005d9b055,reported,2,"certain that the Egyptian forces have landed at Navarin; Some say that this army will be more than sufficient; others assert, upon the testimony of letters recently received",upon the testimony of letters recently received from the sc e ne,letter,,,Paris -> Devon,military_strategic,humanitarian_urgency,3,military_movement,Egyptian forces landing at Navarin,Navarin,OCT 6,reported_account,NAVARIN_LANDING_OCT_1827,"The information is based on letters recently received and includes some uncertainty and differing opinions, indicating it is a reported but not confirmed account.",4,False,,NAVARIN_LANDING_OCT_1827_7760C5,
Morning Herald (London),Tuesday 16 October 1827,1827,"POTIICE ... The Ottoman Porte still professes a determination to reject the proposals of the Allied Powers in regard to the affairs of Greece. Advices from Corfu, of the 25th September, mention, that the French and English squadron, stationed off Navarin, will suffer ...",Unknown,UK,,directly_relevant,Diplomatic Relations,neutral,Discusses Ottoman Porte's rejection of Allied Powers' proposals regarding Greece and the presence of Allied squadrons off Navarin.,,"Ottoman Porte, Greece, Corfu, Navarin","Allied Powers, French squadron, English squadron","POTIICE ... The Ottoman Porte still professes a determination to reject the proposals of the Allied Powers in regard to the affairs of Greece. Advices from Corfu, of the 25th September, mention, that the French and English squadron, stationed off Navarin, will suffer ...",Corfu,Corfu,London,tory,Tory; conservateur,UK,UK,False,449b058d3c1cb102,reported,3,"Advices from Corfu, of the 25th September, mention","Advices from Corfu, of the 25th September, mention",private_correspondence,Corfu,,Corfu -> London,diplomatic_negotiation,military_strategic,4,diplomacy,Ottoman Porte rejects Allied Powers proposals,Greece/Navarin,25th September 1827,reported_account,,Information is based on advices from Corfu and is presented as a report without official confirmation.,5,False,,GREECE_NAVARIN_DIPLOMACY_OTTOMAN_PORTE_REJECTS_ALLIED_POWERS_PROPOSALS_25TH_SEPT_B887ED,
London Courier and Evening Gazette,Saturday 20 October 1827,1827,"TO POTTERS,—EXTENSIVE SALE ... receives the ' congratulations her Court in a while garment. T.ie Monitanv of Monday, brings intelligence i some interest from Greece. It is stated, on i tlie authority a letter from Navariu, dated September 26th, that the preceding day, was • announced to ...",Unknown,UK,,directly_relevant,Internal Greek Affairs,neutral,"Report of intelligence from Greece, specifically from Navarino.",,"Greece, Navarino",The Monitor,"TO POTTERS,—EXTENSIVE SALE ... receives the congratulations her Court in a white garment. The Monitor of Monday, brings intelligence of some interest from Greece. It is stated, on the authority of a letter from Navarino, dated September 26th, that the preceding day, was announced to ...",Navarino,Navarino,London,whig,Whig; libéral modéré,UK,UK,False,57197affaa5f28cf,reported,2,"it is stated; on the authority a letter from Navariu, dated September 26th","on i tlie authority a letter from Navariu, dated September 26th",letter,Navariu,The Monitanv of Monday,Navarino -> London,neutral_information,unclear,3,unclear,,,September 26th,reported_account,,"The information is based on a letter cited by another newspaper, indicating a secondhand report without official confirmation.",4,False,,UNCLEAR_SEPTEMBER_26TH_1827_20C3ED,
Dublin Evening Mail,Monday 22 October 1827,1827,"LONDON, WEDNESDAY, OCT. 17 ... the Ottoman Porte still professes a determination to reject'the proposals of the Allied Powers in regard to the affairs of Greece. Advices from Corfu of the 25th September mention that the French and English squadron, stationed off Navarin, will suffer ...",Unknown,UK,,directly_relevant,Diplomatic Relations,neutral,Reports on the Ottoman Porte rejecting Allied proposals regarding Greece and naval presence off Navarin.,,"London, Greece, Corfu, Navarin",,"LONDON, WEDNESDAY, OCT. 17 ... the Ottoman Porte still professes a determination to reject the proposals of the Allied Powers in regard to the affairs of Greece. Advices from Corfu of the 25th September mention that the French and English squadron, stationed off Navarin, will suffer ...",Corfu,Corfu,Dublin,tory,Dublin; tory,UK,UK,False,baaef8ba7f8ba25a,reported,3,Advices from Corfu of the 25th September mention; the Ottoman Porte still professes a determination,Advices from Corfu of the 25th September mention,private_correspondence,Corfu,,Corfu -> London,diplomatic_negotiation,military_strategic,4,diplomacy,Ottoman Porte rejects Allied Powers proposals on Greece,Greece/Navarin,25th September 1827,reported_account,GREEK_WAR_OF_INDEPENDENCE_1827,"Information is based on advices from Corfu and reports from London, indicating a reported but not confirmed status.",5,False,,GREEK_WAR_OF_INDEPENDENCE_1827_FB2564,
Hampshire Chronicle,Monday 05 November 1827,1827,"LONDON..MONDAY, NOVEMBER 5 ... Cochrane led to an action between the Greek and Egyptian fleets, which terminated in the retreat of the latter lo the port of Navarin. — lt is added, on the au- thority of an article from Trieste, that a division of eight Greek ships had entered the Gnlph of ...",Unknown,UK,,directly_relevant,Military Operations,neutral,"Report on a naval action involving Cochrane, Greek and Egyptian fleets, and the Battle of Navarino.",Cochrane,"Navarin, Trieste, Gulf",,"LONDON, MONDAY, NOVEMBER 5 ... Cochrane led to an action between the Greek and Egyptian fleets, which terminated in the retreat of the latter to the port of Navarin. — It is added, on the authority of an article from Trieste, that a division of eight Greek ships had entered the Gulf of...",Trieste,Trieste,Hampshire,tory,Hampshire; tory,UK,UK,False,1e532519e5302b14,reported,3,"it is added, on the authority of an article from Trieste",on the authority of an article from Trieste,newspaper_reprint,Trieste,article from Trieste,Trieste -> London,military_strategic,neutral_information,4,naval_operation,Naval action between Greek and Egyptian fleets,port of Navarin,"Monday, November 5, 1827",reported_account,NAVARIN_NAVAL_ACTION_NOV_1827,The information is based on a secondary article from Trieste and is presented as reported news without official confirmation.,5,False,,NAVARIN_NAVAL_ACTION_NOV_1827_69DC89,
Surrey Herald and County Advertiser,Tuesday 13 November 1827,1827,"MANSION ifiuUSE ... garlands of flowers are suspended from the church doors, and every thing indicates the greatest rejoicing at the safety of Greece. (From the Constitutionnel.) Pants, Nov. 9.---The Captain of a ship at the battle of Navarin writes to his wife that the ...",Unknown,UK,,directly_relevant,Philhellenism,pro_greek,Reports on rejoicing for Greece's safety and mentions the Battle of Navarin.,,"Greece, Paris, Navarin",Constitutionnel,"MANSION HOUSE ... garlands of flowers are suspended from the church doors, and everything indicates the greatest rejoicing at the safety of Greece. (From the Constitutionnel.) Paris, Nov. 9.—The Captain of a ship at the battle of Navarin writes to his wife that the ...",Paris,Paris,Unknown,inconnu,,UK,UK,False,c11dbc14ae475ae5,reported,3,indicates the greatest rejoicing; writes to his wife,The Captain of a ship at the battle of Navarin writes to his wife,private_correspondence,Pants,Constitutionnel,Navarin -> Pants -> Surrey Herald and County Advertiser,military_strategic,humanitarian_urgency,3,battle,Battle of Navarino,Navarino,Nov. 9,reported_account,NAVARINO_BATTLE_NOV_1827,"Information is based on a private letter cited by a newspaper, indicating a reported but not officially confirmed account.",4,False,,NAVARINO_BATTLE_NOV_1827_A71C94,
Saint James's Chronicle,Saturday 17 November 1827,1827,"No. Vlll.—(Translation,) Svrene. at Navarin. et 22 ... extermination of Greece | b | —that liberty, on which the Miaister seemed to | » r | desire to revenge himself for its distatn, is re; | s > | generated to cclebrate, in the restoration of a |a * | whole people to life and independence; its most | p m ...",Unknown,UK,,directly_relevant,Philhellenism,pro_greek,Translation of a document mentioning Navarino and the 'extermination of Greece' in the context of restoring independence.,,"Greece, Navarin",,"No. VIII.—(Translation,) Syrene at Navarin, et 22 ... extermination of Greece — that liberty, on which the Minister seemed to desire to revenge himself for its disdain, is regenerated to celebrate, in the restoration of a whole people to life and independence; its most ...",Navarin,Navarino,London,tory-modéré,Tory modéré; bi-hebdomadaire,UK,UK,False,dd3b54348dfb31be,unclear,2,seemed to desire; is re; generated to cclebrate,,unknown,Navarin,,Navarino -> London,humanitarian_urgency,christian_suffering,3,unclear,,Navarino,,unclear,,"The text is fragmentary and lacks explicit transmission details or confirmation, making the information uncertain.",4,True,"Text is incomplete and fragmented, making interpretation and classification uncertain. | Unclear rumor status and event phase.",NAVARINO_UNCLEAR_1827_CD4FFC,
Saint James's Chronicle,Tuesday 04 December 1827,1827,"FLANDERS MAIL AND DUTCH PAPERS ... battle of Navarino, and here it has caused a great sensation; but it is now asked will the Greeks be free? Formerly there used to arrive, in this port, a number of Greek vessels laden with corn, but now there are none. The Portuguese express their admiration ...",Unknown,UK,,directly_relevant,Philhellenism,pro_greek,"Mentions the Battle of Navarino, the question of Greek freedom, and the impact on Greek shipping due to the war.",,"Navarino, Portugal","Flanders Mail, Dutch Papers","FLANDERS MAIL AND DUTCH PAPERS ... battle of Navarino, and here it has caused a great sensation; but it is now asked will the Greeks be free? Formerly there used to arrive, in this port, a number of Greek vessels laden with corn, but now there are none. The Portuguese express their admiration ...",Flanders,Flanders,London,tory-modéré,Tory modéré; bi-hebdomadaire,UK,UK,False,be520f467dba6ef7,reported,3,it has caused a great sensation; it is now asked will the Greeks be free?,,unknown,Flanders,Dutch Papers,Flanders -> London,humanitarian_urgency,commercial_shipping,4,battle,Battle of Navarino,Navarino,1827,reported_account,BATTLE_OF_NAVARINO_1827,The information is based on reprinted Dutch papers from Flanders and reflects contemporary public reaction rather than official confirmation.,5,False,,BATTLE_OF_NAVARINO_1827_6C525C,
Saint James's Chronicle,Thursday 06 December 1827,1827,"the morning register. * ... dated which contains an declaration from the Allied’ Admirals, addressed to the Greek, Go- vernment, ‘on the subject of the continued hostilities and piracies of the Greeks since the Turks have been compelled to observe the armistice at sea. ; “Port Navarin ...",Unknown,UK,,directly_relevant,Diplomatic Relations,neutral,"Reports on a declaration from Allied Admirals to the Greek Government regarding continued hostilities and piracies after an armistice, mentioning Port Navarin.",,"Port Navarin, Greece, Turkey","Allied Admirals, Greek Government","The morning register ... dated which contains a declaration from the Allied Admirals, addressed to the Greek Government, on the subject of the continued hostilities and piracies of the Greeks since the Turks have been compelled to observe the armistice at sea. Port Navarin ...",Port Navarin,Port Navarin,London,tory-modéré,Tory modéré; bi-hebdomadaire,UK,UK,False,a5bfc39e94345f5f,reported,3,contains an declaration from the Allied’ Admirals; addressed to the Greek Government,,unknown,Port Navarin,,Port Navarin -> London,diplomatic_negotiation,neutral_information,4,diplomacy,Declaration from Allied Admirals to Greek Government,Port Navarin,1827,reported_account,PORT_NAVARIN_DECLARATION_1827,"The information is based on a newspaper report referencing a declaration by Allied Admirals, but lacks explicit confirmation or multiple sources.",4,False,,PORT_NAVARIN_DECLARATION_1827_61FD5E,
