story_cluster_id,story_cluster_hint,canonical_event_type,event_name,event_location,event_date_reference,rumor_status,event_phase,rhetorical_frame_primary,newspaper_title,date,publication_place,news_origin_norm,transmission_formula,transmission_medium,probable_chain,source_criticism_note,needs_review,review_reason
NAVARIN_LANDING_OCT_1827_7760C5,NAVARIN_LANDING_OCT_1827,military_movement,Egyptian forces landing at Navarin,Navarin,Oct. 6,reported,reported_account,military_strategic,Globe,Wednesday 10 October 1827,Paris,Paris,upon the testimony of letters recently received from the scene of,letter,Paris -> Globe (Paris),"The information is based on letters recently received and hearsay, indicating it is a reported but unconfirmed account.",False,
NAVARIN_LANDING_OCT_1827_7760C5,NAVARIN_LANDING_OCT_1827,military_movement,Egyptian forces landing at Navarin,Navarin,OCT 6,reported,reported_account,military_strategic,Exeter Flying Post,Thursday 11 October 1827,Devon,Paris,upon the testimony of letters recently received from the sc e ne,letter,Paris -> Devon,"The information is based on letters recently received and includes some uncertainty and differing opinions, indicating it is a reported but not confirmed account.",False,
GREECE_NAVARIN_DIPLOMACY_OTTOMAN_PORTE_REJECTS_ALLIED_POWERS_PROPOSALS_25TH_SEPT_B887ED,,diplomacy,Ottoman Porte rejects Allied Powers proposals,Greece/Navarin,25th September 1827,reported,reported_account,diplomatic_negotiation,Morning Herald (London),Tuesday 16 October 1827,London,Corfu,"Advices from Corfu, of the 25th September, mention",private_correspondence,Corfu -> London,Information is based on advices from Corfu and is presented as a report without official confirmation.,False,
UNCLEAR_SEPTEMBER_26TH_1827_20C3ED,,unclear,,,September 26th,reported,reported_account,neutral_information,London Courier and Evening Gazette,Saturday 20 October 1827,London,Navarino,"on i tlie authority a letter from Navariu, dated September 26th",letter,Navarino -> London,"The information is based on a letter cited by another newspaper, indicating a secondhand report without official confirmation.",False,
GREEK_WAR_OF_INDEPENDENCE_1827_FB2564,GREEK_WAR_OF_INDEPENDENCE_1827,diplomacy,Ottoman Porte rejects Allied Powers proposals on Greece,Greece/Navarin,25th September 1827,reported,reported_account,diplomatic_negotiation,Dublin Evening Mail,Monday 22 October 1827,Dublin,Corfu,Advices from Corfu of the 25th September mention,private_correspondence,Corfu -> London,"Information is based on advices from Corfu and reports from London, indicating a reported but not confirmed status.",False,
NAVARIN_NAVAL_ACTION_NOV_1827_69DC89,NAVARIN_NAVAL_ACTION_NOV_1827,naval_operation,Naval action between Greek and Egyptian fleets,port of Navarin,"Monday, November 5, 1827",reported,reported_account,military_strategic,Hampshire Chronicle,Monday 05 November 1827,Hampshire,Trieste,on the authority of an article from Trieste,newspaper_reprint,Trieste -> London,The information is based on a secondary article from Trieste and is presented as reported news without official confirmation.,False,
NAVARINO_BATTLE_NOV_1827_A71C94,NAVARINO_BATTLE_NOV_1827,battle,Battle of Navarino,Navarino,Nov. 9,reported,reported_account,military_strategic,Surrey Herald and County Advertiser,Tuesday 13 November 1827,Unknown,Paris,The Captain of a ship at the battle of Navarin writes to his wife,private_correspondence,Navarin -> Pants -> Surrey Herald and County Advertiser,"Information is based on a private letter cited by a newspaper, indicating a reported but not officially confirmed account.",False,
NAVARINO_UNCLEAR_1827_CD4FFC,,unclear,,Navarino,,unclear,unclear,humanitarian_urgency,Saint James's Chronicle,Saturday 17 November 1827,London,Navarino,,unknown,Navarino -> London,"The text is fragmentary and lacks explicit transmission details or confirmation, making the information uncertain.",True,"Text is incomplete and fragmented, making interpretation and classification uncertain. | Unclear rumor status and event phase."
BATTLE_OF_NAVARINO_1827_6C525C,BATTLE_OF_NAVARINO_1827,battle,Battle of Navarino,Navarino,1827,reported,reported_account,humanitarian_urgency,Saint James's Chronicle,Tuesday 04 December 1827,London,Flanders,,unknown,Flanders -> London,The information is based on reprinted Dutch papers from Flanders and reflects contemporary public reaction rather than official confirmation.,False,
PORT_NAVARIN_DECLARATION_1827_61FD5E,PORT_NAVARIN_DECLARATION_1827,diplomacy,Declaration from Allied Admirals to Greek Government,Port Navarin,1827,reported,reported_account,diplomatic_negotiation,Saint James's Chronicle,Thursday 06 December 1827,London,Port Navarin,,unknown,Port Navarin -> London,"The information is based on a newspaper report referencing a declaration by Allied Admirals, but lacks explicit confirmation or multiple sources.",False,
BATTLE_OF_NAVARINO_1827_6C525C,BATTLE_OF_NAVARINO_1827,battle,Battle of Navarino,Navarino,,reported,reported_account,balance_of_power,Inverness Journal and Northern Advertiser,Friday 07 December 1827,Inverness-shire,Constantinople,,unknown,Constantinople -> Inverness-shire,The information is a newspaper report referencing events at Constantinople without explicit source citation or official confirmation.,False,
BATTLE_OF_NAVARINO_1827_6C525C,BATTLE_OF_NAVARINO_1827,naval_operation,Battle of Navarino,Navarino,1827,reported,reported_account,military_strategic,Sun (London),Thursday 20 December 1827,London,Lesbos,,unknown,Lesbos -> London,"The information is based on reports from consuls and partial announcements, lacking full official confirmation and containing unclear phrasing.",True,"Text is fragmentary and partially unclear, requiring further verification and clarification."
PIRACY_PUNISHED_NAVARINO_1827_18A2EA,PIRACY_PUNISHED_NAVARINO_1827,other,Piracy punished,Navarino,Sept. 30,reported,reported_account,commercial_shipping,London Courier and Evening Gazette,Wednesday 26 December 1827,London,Navarino,"On board his Britannic Majesty's ship Asia, off Navarin, Sept. 30.",ship,Navarino -> London,"Information is based on a report from a naval officer aboard a British warship, indicating circumstantial evidence but not official confirmation.",False,
BATTLE_OF_NAVARIN_DEC_1827_4FFA42,BATTLE_OF_NAVARIN_DEC_1827,battle,Battle of Navarin,Navarin,18th December,reported,reported_account,military_strategic,New Times (London),Thursday 27 December 1827,London,Paris,,newspaper_reprint,Paris -> London,"The information is a reprint from the Moniteur newspaper dated 18th December, representing a reported account rather than official confirmation.",False,
GREEK_WAR_OF_INDEPENDENCE_FEB_1827_331170,GREEK_WAR_OF_INDEPENDENCE_FEB_1827,military_movement,Greek military operations early February 1827,"Modon, Salona, Missolunghi, Athens, Navarin, Dardanelles, Tripolitza, Calamata",up to 8 February 1827,reported,reported_account,military_strategic,"Le Corsaire : Journal Des Spectacles, De La Littérature, Des Arts, Des Moeurs Et Des Modes",1827-03-01,Unknown,Corfu,Le paquebot de Corfou nous apporte des nouvelles qui vont jusqu'au 8 février,steamboat,Corfu -> France,"The information is based on secondhand reports conveyed by a steamboat from Corfu, citing captains and local sources, indicating moderate reliability but lacking official confirmation.",False,
GREEK_WAR_OF_INDEPENDENCE_1827_FB2564,GREEK_WAR_OF_INDEPENDENCE_1827,military_movement,Greek internal military and political developments early 1827,"Greece (Egine, Hydra, Spécie, Modon, Missolonghi, Athens, Navarin, Tripolitza, Calamata)",up to 8 February 1827,reported,reported_account,military_strategic,Le Mémorial Bordelais : Feuille Politique Et Littéraire,1827-03-10,Bordeaux,Smyrna,Le paquebot de Corfou nous apporte des nouvelles qui vont jusqu'au 8 février.,steamboat,Smyrna -> Constantinople -> Trieste -> Bordeaux,"The information is based on secondhand reports and letters from various locations, indicating reported but not confirmed news.",False,
