story_cluster_id,count
GREEK_INDEPENDENCE_DIPLOMACY_1828_A77F38,20
GREEK_WAR_OF_INDEPENDENCE_1821_C31FAE,18
GREEK_WAR_OF_INDEPENDENCE_1827_FB2564,18
GREEK_WAR_OF_INDEPENDENCE_1824_6976EA,15
GREEK_WAR_OF_INDEPENDENCE_1825_446895,11
MISSOLONGHII_SIEGE_1825_7814A1,11
GREEK_WAR_OF_INDEPENDENCE_1823_52BD10,10
GREEK_INDEPENDENCE_1829_325E4A,9
GREEK_INDEPENDENCE_1830_F81286,9
GREEK_WAR_OF_INDEPENDENCE_1822_F38CDD,8
MISSOLONGHII_FALL_APRIL_1826_2810A2,8
GREEK_WAR_OF_INDEPENDENCE_1826_C06203,8
GREEK_INDEPENDENCE_DIPLOMACY_1830_C3FB4E,8
GREEK_WAR_OF_INDEPENDENCE_1828_F19801,7
GREEK_WAR_OF_INDEPENDENCE_1829_1BAC70,7
GREEK_INDEPENDENCE_DIPLOMACY_1829_B51A57,7
GREEK_INDEPENDENCE_DIPLOMACY_1827_9A83DC,6
GREEK_WAR_INDEPENDENCE_1821_21710F,6
GREEK_INDEPENDENCE_1827_D13FC2,6
GREEK_INDEPENDENCE_1822_6DA788,6
GREEK_INDEPENDENCE_1828_056C05,6
GREEK_INTERNAL_AFFAIRS_1832_392144,5
MISSOLONGHII_SIEGE_1826_0CD01D,5
GREEK_NAVAL_OPERATIONS_1825_C3BE13,5
GREEK_NAVAL_OPERATIONS_1822_06F7C4,5
MISSOLONGHII_FALL_MAY_1829_A101D1,5
GREEK_NAVAL_OPERATIONS_1824_33191A,5
INTERNAL_GREEK_AFFAIRS_1828_0697F4,4
GREEK_LOAN_1824_9DF4B1,4
NAVARINO_BATTLE_1827_CE0A21,4
UNCLEAR_1822_A07F77,4
GREEK_DIPLOMACY_1825_8611BF,4
PHILHELLENISM_1827_5C954F,4
GREEK_INDEPENDENCE_RECOGNITION_1829_7CCAE9,4
GREEK_INDEPENDENCE_DIPLOMACY_1832_95F51A,4
UNCLEAR_1824_B440F7,4
MISSOLONGHII_SIEGE_APRIL_1826_330333,4
INTERNAL_GREEK_AFFAIRS_1831_861C25,3
UNCLEAR_1828_FB6EAF,3
GREEK_NAVAL_OPERATIONS_1829_5E4A1A,3
GREEK_INDEPENDENCE_NEGOTIATIONS_1828_708E62,3
GREECE_UNCLEAR_1827_6A56D7,3
GREECE_UNCLEAR_1825_2C591C,3
GREEK_INDEPENDENCE_DIPLOMACY_1824_BC241F,3
PHILHELLENISM_FUNDRAISING_1826_03B651,3
GREEK_DIPLOMACY_1832_419123,3
GREEK_NAVAL_OPERATIONS_1828_8D15A5,3
GREEK_INDEPENDENCE_1821_0926A5,3
UNCLEAR_1823_ED4BC3,3
UNCLEAR_1827_C856DC,3
GREEK_NAVAL_OPERATIONS_1827_FC6A2E,3
INTERNAL_GREEK_AFFAIRS_1832_3239AD,3
CHIOS_MASSACRE_1822_A193A6,3
GREEK_INDEPENDENCE_DIPLOMACY_1826_A33EFE,3
UNCLEAR_1826_63D437,3
UNCLEAR_1825_31BD11,3
GREEK_POLITICAL_DEVELOPMENT_1832_1EA931,3
GREEK_INTERNAL_AFFAIRS_1825_D3A878,3
NAVARINO_1825_72FEA5,3
MISSOLONGHII_NAVAL_1825_E925C6,2
MISSOLONGHII_UNCLEAR_23_11_JANUARY_1824_1824_C437EC,2
GREEK_NATIONAL_ASSEMBLY_1823_D3241F,2
GREEK_MILITARY_MOVEMENTS_1823_7258B9,2
PHILHELLENISM_1824_37FCCB,2
ACROPOLIS_BATTLE_JUNE_1827_FAA028,2
CORFU_DIPLOMACY_1828_8DAD06,2
PATRAS_FALL_JANUARY_1825_1CE9FE,2
PHILHELLENISM_1823_C0D422,2
GREEK_WAR_NAVAL_1825_D7890D,2
GREEK_POLITICAL_DEVELOPMENT_1830_C5FC7F,2
GREEK_NAVAL_OPERATIONS_1823_BF6D18,2
EGYPTIAN_OPERATIONS_MOREA_1825_CC5D82,2
HYDRA_NAVAL_OPERATIONS_1827_F4D1C3,2
GREEK_DIPLOMACY_1829_876455,2
GREEK_CIVIL_WAR_1832_BFE606,2
CAPO_DISTRIAS_DEATH_1831_2C063F,2
GREECE_DIPLOMACY_BRITISH_AMBASSADOR_S_MEMOIR_TO_THE_DIVAN_1823_1823_90E6BC,2
GREEK_WAR_DIPLOMACY_1829_FA03AE,2
MOREA_EVACUATION_1828_FCEEB4,2
NAVARINO_MILITARY_1825_9604DC,2
GREEK_INDEPENDENCE_NEGOTIATIONS_1824_C29ACD,2
GREEK_DIPLOMACY_1828_B3A309,2
SMYRNA_MASSACRE_JUNE_1821_FB3667,2
GREEK_INSURRECTION_1822_3FE0E1,2
GREECE_DIPLOMACY_1828_EC328B,2
GREEK_NAVAL_OPERATIONS_1821_4311FD,2
INTERNAL_GREEK_AFFAIRS_1823_9E27E5,2
MOREA_MILITARY_OPERATIONS_1825_C7CBD4,2
PHILHELLENISM_1826_6B981A,2
GREEK_ACCESSION_1832_344112,2
INTERNAL_GREEK_AFFAIRS_1824_041664,2
LONDON_DIPLOMACY_LONDON_CONFERENCE_ON_GREEK_BOUNDARIES_1831_1831_650A63,2
ATHENS_BATTLE_MAY_1827_07FBA5,2
ATHENS_BATTLE_MARCH_1827_10A84D,2
ATHENS_FALL_JULY_1829_DDA144,2
YPSILANTI_VICTORIES_1829_D47E93,2
MISSOLONGHII_MILITARY_1823_6D7319,2
PHILHELLENISM_PARIS_1825_B070FA,2
GREEK_NAVAL_OPERATIONS_1826_4DBBB1,2
FINANCE_GREEK_FRIGATES_FUNDING_STATEMENT_1826_0246C2,2
GREEK_COMMITTEE_ENGLAND_1826_203103,2
GREEK_BLOCKADE_1829_20C904,2
SMYRNA_MILITARY_MOVEMENT_PHILHELLENES_LEAVING_GREEK_SERVICE_AND_OFFERING_SERVICE_AEC8D7,2
GREEK_INDEPENDENCE_RECOGNITION_1828_BF79DB,2
GREEK_INDEPENDENCE_1823_FECEC1,2
GREEK_PROVISIONAL_GOVERNMENT_1822_650435,2
OTHER_1823_34B183,2
GREECE_POLITICAL_DEVELOPMENT_CREATION_OF_GREECE_INTO_AN_INDEPENDENT_SOVEREIGNTY__235785,2
GREECE_UNCLEAR_1826_18F516,2
